configName      Platooning
iniFile         omnetpp.ini
processID       4032
runID           Platooning-0-20191111-22:59:37-4032
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-11-11 22:59:37.455
endDateTime     2019-11-11 23:00:41.455
duration        0 hour, 1 minute, 3 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     
33             1.10           veh.1          3              veh            1              -              -              -              
33             1.10           veh.2          3              veh            2              -              -              -              
33             1.10           veh.3          3              veh            3              -              -              -              

34             1.10           veh.4          3              veh.4          0              3              4              10             
34             1.10           veh.5          3              veh.4          1              -              -              -              
34             1.10           veh.6          3              veh.4          2              -              -              -              

35             1.10           veh1           3              veh1           0              4              4              10             
35             1.10           veh1.1         3              veh1           1              -              -              -              
35             1.10           veh1.2         3              veh1           2              -              -              -              
35             1.10           veh1.3         3              veh1           3              -              -              -              

36             1.10           veh1.4         3              veh1.4         0              2              4              10             
36             1.10           veh1.5         3              veh1.4         1              -              -              -              

37             1.20           veh            3              veh            0              4              4              10             
37             1.20           veh.1          3              veh            1              -              -              -              
37             1.20           veh.2          3              veh            2              -              -              -              
37             1.20           veh.3          3              veh            3              -              -              -              

38             1.20           veh.4          3              veh.4          0              3              4              10             
38             1.20           veh.5          3              veh.4          1              -              -              -              
38             1.20           veh.6          3              veh.4          2              -              -              -              

39             1.20           veh1           3              veh1           0              4              4              10             
39             1.20           veh1.1         3              veh1           1              -              -              -              
39             1.20           veh1.2         3              veh1           2              -              -              -              
39             1.20           veh1.3         3              veh1           3              -              -              -              

40             1.20           veh1.4         3              veh1.4         0              2              4              10             
40             1.20           veh1.5         3              veh1.4         1              -              -              -              

41             1.30           veh            3              veh            0              4              4              10             
41             1.30           veh.1          3              veh            1              -              -              -              
41             1.30           veh.2          3              veh            2              -              -              -              
41             1.30           veh.3          3              veh            3              -              -              -              

42             1.30           veh.4          3              veh.4          0              3              4              10             
42             1.30           veh.5          3              veh.4          1              -              -              -              
42             1.30           veh.6          3              veh.4          2              -              -              -              

43             1.30           veh1           3              veh1           0              4              4              10             
43             1.30           veh1.1         3              veh1           1              -              -              -              
43             1.30           veh1.2         3              veh1           2              -              -              -              
43             1.30           veh1.3         3              veh1           3              -              -              -              

44             1.30           veh1.4         3              veh1.4         0              2              4              10             
44             1.30           veh1.5         3              veh1.4         1              -              -              -              

45             1.40           veh            3              veh            0              4              4              10             
45             1.40           veh.1          3              veh            1              -              -              -              
45             1.40           veh.2          3              veh            2              -              -              -              
45             1.40           veh.3          3              veh            3              -              -              -              

46             1.40           veh.4          3              veh.4          0              3              4              10             
46             1.40           veh.5          3              veh.4          1              -              -              -              
46             1.40           veh.6          3              veh.4          2              -              -              -              

47             1.40           veh1           3              veh1           0              4              4              10             
47             1.40           veh1.1         3              veh1           1              -              -              -              
47             1.40           veh1.2         3              veh1           2              -              -              -              
47             1.40           veh1.3         3              veh1           3              -              -              -              

48             1.40           veh1.4         3              veh1.4         0              2              4              10             
48             1.40           veh1.5         3              veh1.4         1              -              -              -              

49             1.50           veh            3              veh            0              4              4              10             
49             1.50           veh.1          3              veh            1              -              -              -              
49             1.50           veh.2          3              veh            2              -              -              -              
49             1.50           veh.3          3              veh            3              -              -              -              

50             1.50           veh.4          3              veh.4          0              3              4              10             
50             1.50           veh.5          3              veh.4          1              -              -              -              
50             1.50           veh.6          3              veh.4          2              -              -              -              

51             1.50           veh1           3              veh1           0              4              4              10             
51             1.50           veh1.1         3              veh1           1              -              -              -              
51             1.50           veh1.2         3              veh1           2              -              -              -              
51             1.50           veh1.3         3              veh1           3              -              -              -              

52             1.50           veh1.4         3              veh1.4         0              2              4              10             
52             1.50           veh1.5         3              veh1.4         1              -              -              -              

53             1.60           veh            3              veh            0              4              4              10             
53             1.60           veh.1          3              veh            1              -              -              -              
53             1.60           veh.2          3              veh            2              -              -              -              
53             1.60           veh.3          3              veh            3              -              -              -              

54             1.60           veh.4          3              veh.4          0              3              4              10             
54             1.60           veh.5          3              veh.4          1              -              -              -              
54             1.60           veh.6          3              veh.4          2              -              -              -              

55             1.60           veh1           3              veh1           0              4              4              10             
55             1.60           veh1.1         3              veh1           1              -              -              -              
55             1.60           veh1.2         3              veh1           2              -              -              -              
55             1.60           veh1.3         3              veh1           3              -              -              -              

56             1.60           veh1.4         3              veh1.4         0              2              4              10             
56             1.60           veh1.5         3              veh1.4         1              -              -              -              

57             1.70           veh            3              veh            0              4              4              10             
57             1.70           veh.1          3              veh            1              -              -              -              
57             1.70           veh.2          3              veh            2              -              -              -              
57             1.70           veh.3          3              veh            3              -              -              -              

58             1.70           veh.4          3              veh.4          0              3              4              10             
58             1.70           veh.5          3              veh.4          1              -              -              -              
58             1.70           veh.6          3              veh.4          2              -              -              -              

59             1.70           veh1           3              veh1           0              4              4              10             
59             1.70           veh1.1         3              veh1           1              -              -              -              
59             1.70           veh1.2         3              veh1           2              -              -              -              
59             1.70           veh1.3         3              veh1           3              -              -              -              

60             1.70           veh1.4         3              veh1.4         0              2              4              10             
60             1.70           veh1.5         3              veh1.4         1              -              -              -              

61             1.80           veh            3              veh            0              4              4              10             
61             1.80           veh.1          3              veh            1              -              -              -              
61             1.80           veh.2          3              veh            2              -              -              -              
61             1.80           veh.3          3              veh            3              -              -              -              

62             1.80           veh.4          3              veh.4          0              3              4              10             
62             1.80           veh.5          3              veh.4          1              -              -              -              
62             1.80           veh.6          3              veh.4          2              -              -              -              

63             1.80           veh1           3              veh1           0              4              4              10             
63             1.80           veh1.1         3              veh1           1              -              -              -              
63             1.80           veh1.2         3              veh1           2              -              -              -              
63             1.80           veh1.3         3              veh1           3              -              -              -              

64             1.80           veh1.4         3              veh1.4         0              2              4              10             
64             1.80           veh1.5         3              veh1.4         1              -              -              -              

65             1.90           veh            3              veh            0              4              4              10             
65             1.90           veh.1          3              veh            1              -              -              -              
65             1.90           veh.2          3              veh            2              -              -              -              
65             1.90           veh.3          3              veh            3              -              -              -              

66             1.90           veh.4          3              veh.4          0              3              4              10             
66             1.90           veh.5          3              veh.4          1              -              -              -              
66             1.90           veh.6          3              veh.4          2              -              -              -              

67             1.90           veh1           3              veh1           0              4              4              10             
67             1.90           veh1.1         3              veh1           1              -              -              -              
67             1.90           veh1.2         3              veh1           2              -              -              -              
67             1.90           veh1.3         3              veh1           3              -              -              -              

68             1.90           veh1.4         3              veh1.4         0              2              4              10             
68             1.90           veh1.5         3              veh1.4         1              -              -              -              

69             2.00           veh            3              veh            0              4              4              10             
69             2.00           veh.1          3              veh            1              -              -              -              
69             2.00           veh.2          3              veh            2              -              -              -              
69             2.00           veh.3          3              veh            3              -              -              -              

70             2.00           veh.4          3              veh.4          0              3              4              10             
70             2.00           veh.5          3              veh.4          1              -              -              -              
70             2.00           veh.6          3              veh.4          2              -              -              -              

71             2.00           veh1           3              veh1           0              4              4              10             
71             2.00           veh1.1         3              veh1           1              -              -              -              
71             2.00           veh1.2         3              veh1           2              -              -              -              
71             2.00           veh1.3         3              veh1           3              -              -              -              

72             2.00           veh1.4         3              veh1.4         0              2              4              10             
72             2.00           veh1.5         3              veh1.4         1              -              -              -              

73             2.10           veh            3              veh            0              4              4              10             
73             2.10           veh.1          3              veh            1              -              -              -              
73             2.10           veh.2          3              veh            2              -              -              -              
73             2.10           veh.3          3              veh            3              -              -              -              

