configName      Platooning
iniFile         omnetpp.ini
processID       3895
runID           Platooning-0-20191111-22:53:07-3895
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-11-11 22:53:07.042
endDateTime     2019-11-11 22:53:48.042
duration        0 hour, 0 minute, 41 second


timeStep    vehId          fromState                     toState                       commandSent    receiverId     senderPltId    receiverPltId    maneuverStartEnd 


0.00        veh            state_idle                    state_platoonLeader           -              -              -              -                -                

0.00        veh.1          state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh.2          state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh1           state_idle                    state_platoonLeader           -              -              -              -                -                

0.00        veh1.1         state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh1.2         state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh1.3         state_idle                    state_platoonFollower         -              -              -              -                -                

45.00       veh1           state_platoonLeader           state_sendSplitReq            -              -              -              -                -                
45.00       veh1           state_sendSplitReq            state_waitForSplitReply       SPLIT_REQ      veh1.2         veh1           veh1             -                

45.03       veh1.2         state_platoonFollower         state_waitForCHANGEPL         SPLIT_ACCEPT   veh1           veh1           veh1             -                

45.03       veh1           state_waitForSplitReply       state_makeItFreeAgent         -              -              -              -                Split_Start      
45.03       veh1           state_makeItFreeAgent         state_waitForAck              CHANGE_PL      veh1.2         veh1           veh1             -                

45.11       veh1.2         state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
45.11       veh1.2         state_sendingACK              state_waitForSplitDone        ACK            veh1           veh1.2         veh1.2           -                

45.16       veh1           state_waitForAck              state_changePL                -              -              -              -                -                
45.16       veh1           state_changePL                state_waitForAllAcks2         CHANGE_PL      veh1.3         veh1           veh1             -                

45.19       veh1.3         state_platoonFollower         state_platoonFollower         ACK            veh1           veh1.2         veh1             -                

45.20       veh1           state_waitForAllAcks2         state_splitDone               -              -              -              -                -                
45.20       veh1           state_splitDone               state_platoonLeader           CHANGE_Tg      multicast      veh1           veh1             -                
45.20       veh1           state_splitDone               state_platoonLeader           SPLIT_DONE     veh1.2         veh1           veh1             -                

45.25       veh1.2         state_waitForSplitDone        state_waitForGap              -              -              -              -                -                

48.95       veh1.2         state_waitForGap              state_platoonLeader           GAP_CREATED    veh1           veh1.2         veh1             Split_End        

65.00       veh            state_platoonLeader           state_sendSplitReq            -              -              -              -                -                
65.00       veh            state_sendSplitReq            state_waitForSplitReply       SPLIT_REQ      veh.1          veh            veh              -                

65.07       veh.1          state_platoonFollower         state_waitForCHANGEPL         SPLIT_ACCEPT   veh            veh            veh              -                

65.13       veh            state_waitForSplitReply       state_makeItFreeAgent         -              -              -              -                Split_Start      
65.13       veh            state_makeItFreeAgent         state_waitForAck              CHANGE_PL      veh.1          veh            veh              -                

65.21       veh.1          state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
65.21       veh.1          state_sendingACK              state_waitForSplitDone        ACK            veh            veh.1          veh.1            -                

65.23       veh            state_waitForAck              state_changePL                -              -              -              -                -                
65.23       veh            state_changePL                state_waitForAllAcks2         CHANGE_PL      veh.2          veh            veh              -                

65.26       veh.2          state_platoonFollower         state_platoonFollower         ACK            veh            veh.1          veh              -                

65.30       veh            state_waitForAllAcks2         state_splitDone               -              -              -              -                -                
65.30       veh            state_splitDone               state_platoonLeader           CHANGE_Tg      multicast      veh            veh              -                
65.30       veh            state_splitDone               state_platoonLeader           SPLIT_DONE     veh.1          veh            veh              -                

65.39       veh.1          state_waitForSplitDone        state_waitForGap              -              -              -              -                -                

69.09       veh.1          state_waitForGap              state_platoonLeader           GAP_CREATED    veh            veh.1          veh              Split_End        
