configName      Platooning
iniFile         omnetpp.ini
processID       3847
runID           Platooning-0-20191111-22:51:04-3847
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-11-11 22:51:04.494
endDateTime     2019-11-11 22:52:16.494
duration        0 hour, 1 minute, 12 second


timeStep    vehId          fromState                     toState                       commandSent    receiverId     senderPltId    receiverPltId    maneuverStartEnd 

97.12       veh.2          state_waitForCatchup          state_notifyFollowers         -              -              -              -                -                
97.12       veh.2          state_notifyFollowers         state_waitForAllAcks          CHANGE_PL      multicast      veh.2          veh              -                

97.21       veh.3          state_platoonFollower         state_platoonFollower         ACK            veh.2          veh            veh.2            -                

97.25       veh.2          state_waitForAllAcks          state_sendMergeDone           -              -              -              -                -                
97.25       veh.2          state_sendMergeDone           state_platoonFollower         MERGE_DONE     veh            veh            veh              Merge_End        

97.29       veh            state_waitForMergeDone        state_mergeDone               -              -              -              -                -                
97.29       veh            state_mergeDone               state_platoonLeader           -              -              -              -                -                
